rank,iso3,priority_score,in_demo_set,is_large_importer,n_legacy,n_sourced,n_missing,n_fields_present,fully_legacy,fully_sourced,legacy_fields,demo_reason,importer_reason
40,US-CT,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
41,US-DE,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
42,US-FL,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
43,US-GA,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
44,US-HI,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
45,US-IA,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
46,US-ID,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
47,US-IL,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
48,US-IN,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
49,US-KS,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
50,US-KY,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
51,US-LA,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
52,US-MA,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
53,US-MD,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
54,US-ME,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
55,US-MI,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
56,US-MN,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
57,US-MO,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
58,US-MS,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
59,US-MT,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
60,US-NC,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
61,US-ND,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
62,US-NE,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
63,US-NH,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
64,US-NJ,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
65,US-NM,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
66,US-NV,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
67,US-NY,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
68,US-OH,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
69,US-OK,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
70,US-OR,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
71,US-PA,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
72,US-RI,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
73,US-SC,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
74,US-SD,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
75,US-TN,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
76,US-TX,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
77,US-UT,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
78,US-VA,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
79,US-VT,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
80,US-WA,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
81,US-WI,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
82,US-WV,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
83,US-WY,13,False,False,13,0,2,13,True,False,fdrs;c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
84,ABW,12,False,False,12,1,1,14,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
85,AND,12,False,False,12,1,1,14,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
86,ASM,12,False,False,12,1,2,13,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
87,BES,12,False,False,12,1,2,13,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
88,BMU,12,False,False,12,1,2,13,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
89,CYM,12,False,False,12,1,1,14,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
90,FRO,12,False,False,12,1,2,13,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
91,FSM,12,False,False,12,1,1,14,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
92,GRL,12,False,False,12,1,2,13,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
93,GUM,12,False,False,12,1,2,13,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
94,IMN,12,False,False,12,1,2,13,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
95,LIE,12,False,False,12,1,1,14,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
96,MAF,12,False,False,12,1,2,13,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
97,MCO,12,False,False,12,1,1,14,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
98,MNP,12,False,False,12,1,2,13,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
99,NIU,12,False,False,12,1,2,13,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
100,PLW,12,False,False,12,1,1,14,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
101,PRI,12,False,False,12,1,2,13,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
102,PSE,12,False,False,12,1,1,14,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
103,SMR,12,False,False,12,1,1,14,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
104,VIR,12,False,False,12,1,2,13,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
105,XKX,12,False,False,12,1,2,13,False,False,c;f2030;w;r;m;fi;net;imports;exports;exportDests;suppliers;supPct,,
106,BDI,11,False,False,11,3,0,15,False,False,c;f2030;w;r;m;fi;net;exports;exportDests;suppliers;supPct,,
107,BEN,11,False,False,11,3,0,15,False,False,c;f2030;w;r;m;fi;net;exports;exportDests;suppliers;supPct,,
108,DMA,11,False,False,11,2,1,14,False,False,c;f2030;w;r;m;fi;imports;exports;exportDests;suppliers;supPct,,
109,ERI,11,False,False,11,3,0,15,False,False,c;f2030;w;r;m;fi;net;exports;exportDests;suppliers;supPct,,
110,GNQ,11,False,False,11,2,1,14,False,False,c;f2030;w;r;m;fi;imports;exports;exportDests;suppliers;supPct,,
111,MLI,11,False,False,11,3,0,15,False,False,c;f2030;w;r;m;fi;net;exports;exportDests;suppliers;supPct,,
112,TCD,11,False,False,11,3,0,15,False,False,c;f2030;w;r;m;fi;net;exports;exportDests;suppliers;supPct,,
113,TGO,9,False,False,9,5,0,15,False,False,c;f2030;w;r;m;fi;net;suppliers;supPct,,
114,ATG,8,False,False,8,5,1,14,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
115,BHS,8,False,False,8,5,1,14,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
116,BRB,8,False,False,8,5,1,14,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
117,COM,8,False,False,8,6,1,14,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
118,DJI,8,False,False,8,6,1,14,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
119,GRD,8,False,False,8,6,1,14,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
120,HTI,8,False,False,8,6,1,14,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
121,KIR,8,False,False,8,5,1,14,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
122,KNA,8,False,False,8,5,1,14,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
123,LCA,8,False,False,8,6,1,14,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
124,MHL,8,False,False,8,5,1,14,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
125,NCL,8,False,False,8,5,2,13,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
126,NRU,8,False,False,8,5,1,14,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
127,PYF,8,False,False,8,5,2,13,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
128,SLB,8,False,False,8,6,1,14,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
129,STP,8,False,False,8,6,1,14,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
130,SYC,8,False,False,8,5,1,14,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
131,TLS,8,False,False,8,6,1,14,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
132,TON,8,False,False,8,6,1,14,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
133,TUV,8,False,False,8,5,1,14,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
134,VCT,8,False,False,8,6,1,14,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
135,VUT,8,False,False,8,6,1,14,False,False,c;f2030;fi;imports;exports;exportDests;suppliers;supPct,,
136,AFG,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
137,BLR,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
138,BTN,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
139,BWA,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
140,CAF,7,False,False,7,7,0,15,False,False,c;f2030;w;r;m;fi;net,,
141,CMR,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
142,COD,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
143,COG,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
144,CUB,7,False,False,7,7,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
145,ETH,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
146,GAB,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
147,GHA,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
148,GIN,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
149,GNB,7,False,False,7,7,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
150,IRQ,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
151,LAO,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
152,LBR,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
153,LBY,7,False,False,7,7,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
154,MKD,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
155,NPL,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
156,PNG,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
157,PRK,7,False,False,7,7,1,14,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
158,RWA,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
159,SGP,7,False,False,7,7,1,14,False,False,c;f2030;w;r;m;fi;imports,,
160,SLE,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
161,SWZ,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
162,SYR,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
163,TJK,7,False,False,7,8,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
164,TKM,7,False,False,7,7,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
165,TWN,7,False,False,7,7,1,14,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
166,VEN,7,False,False,7,7,0,15,False,False,c;f2030;fi;exports;exportDests;suppliers;supPct,,
167,BRN,6,False,False,6,8,0,15,False,False,c;f2030;w;r;m;fi,,
168,SUR,6,False,False,6,8,1,14,False,False,c;f2030;fi;imports;suppliers;supPct,,
169,TTO,6,False,False,6,7,1,14,False,False,c;f2030;fi;imports;suppliers;supPct,,
170,URY,6,False,False,6,7,1,14,False,False,c;f2030;fi;imports;suppliers;supPct,,
171,WSM,6,False,False,6,8,1,14,False,False,c;f2030;fi;imports;suppliers;supPct,,
172,AZE,5,False,False,5,10,0,15,False,False,c;f2030;fi;exports;exportDests,,
173,CPV,5,False,False,5,10,0,15,False,False,c;f2030;fi;exports;exportDests,,
174,MDV,5,False,False,5,9,1,14,False,False,c;f2030;fi;exports;exportDests,,
175,MNG,5,False,False,5,10,0,15,False,False,c;f2030;fi;exports;exportDests,,
176,SRB,5,False,False,5,10,0,15,False,False,c;f2030;fi;suppliers;supPct,,
177,UGA,5,False,False,5,10,0,15,False,False,c;f2030;fi;suppliers;supPct,,
178,UZB,5,False,False,5,10,0,15,False,False,c;f2030;fi;suppliers;supPct,,
179,ZMB,5,False,False,5,10,0,15,False,False,c;f2030;fi;suppliers;supPct,,
180,ROU,4,False,False,4,11,0,15,False,False,c;f2030;suppliers;supPct,,
181,SDN,4,False,False,4,10,0,15,False,False,c;f2030;exports;exportDests,,
182,SVK,4,False,False,4,11,0,15,False,False,c;f2030;suppliers;supPct,,
183,SVN,4,False,False,4,11,0,15,False,False,c;f2030;suppliers;supPct,,
184,AGO,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
185,ALB,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
186,ARG,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
187,ARM,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
188,AUS,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
189,BFA,3,False,False,3,11,0,15,False,False,c;f2030;fi,,
190,BHR,3,False,False,3,11,0,15,False,False,c;f2030;fi,,
191,BIH,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
192,BLZ,3,False,False,3,11,1,14,False,False,c;f2030;fi,,
193,BOL,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
194,CHL,3,False,False,3,11,0,15,False,False,c;f2030;fi,,
195,CIV,3,False,False,3,11,0,15,False,False,c;f2030;fi,,
196,COL,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
197,CRI,3,False,False,3,11,0,15,False,False,c;f2030;fi,,
198,DOM,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
199,ECU,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
200,FJI,3,False,False,3,11,0,15,False,False,c;f2030;fi,,
201,GEO,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
202,GMB,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
203,GTM,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
204,GUY,3,False,False,3,11,1,14,False,False,c;f2030;fi,,
205,HKG,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
206,HND,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
207,ISR,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
208,JAM,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
209,JOR,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
210,KAZ,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
211,KEN,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
212,KGZ,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
213,KHM,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
214,KWT,3,False,False,3,11,0,15,False,False,c;f2030;fi,,
215,LBN,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
216,LKA,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
217,LSO,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
218,MAC,3,False,False,3,10,1,14,False,False,c;f2030;fi,,
219,MAR,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
220,MDA,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
221,MDG,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
222,MMR,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
223,MNE,3,False,False,3,11,1,14,False,False,c;f2030;fi,,
224,MOZ,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
225,MRT,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
226,MUS,3,False,False,3,11,1,14,False,False,c;f2030;fi,,
227,MWI,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
228,NAM,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
229,NER,3,False,False,3,11,0,15,False,False,c;f2030;fi,,
230,NIC,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
231,NZL,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
232,OMN,3,False,False,3,11,0,15,False,False,c;f2030;fi,,
233,PAK,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
234,PAN,3,False,False,3,11,0,15,False,False,c;f2030;fi,,
235,PER,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
236,PRY,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
237,QAT,3,False,False,3,11,0,15,False,False,c;f2030;fi,,
238,SEN,3,False,False,3,11,0,15,False,False,c;f2030;fi,,
239,SLV,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
240,TUN,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
241,TZA,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
242,UKR,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
243,ZAF,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
244,ZWE,3,False,False,3,12,0,15,False,False,c;f2030;fi,,
245,AUT,2,False,False,2,12,1,14,False,False,c;f2030,,
246,BGR,2,False,False,2,13,0,15,False,False,c;f2030,,
247,CHE,2,False,False,2,13,0,15,False,False,c;f2030,,
248,CYP,2,False,False,2,12,1,14,False,False,c;f2030,,
249,CZE,2,False,False,2,13,0,15,False,False,c;f2030,,
250,DNK,2,False,False,2,13,0,15,False,False,c;f2030,,
251,EST,2,False,False,2,13,0,15,False,False,c;f2030,,
252,FIN,2,False,False,2,12,0,15,False,False,c;f2030,,
253,GRC,2,False,False,2,13,0,15,False,False,c;f2030,,
254,HRV,2,False,False,2,12,1,14,False,False,c;f2030,,
255,HUN,2,False,False,2,13,0,15,False,False,c;f2030,,
256,IRL,2,False,False,2,13,0,15,False,False,c;f2030,,
257,ISL,2,False,False,2,12,1,14,False,False,c;f2030,,
258,LTU,2,False,False,2,13,0,15,False,False,c;f2030,,
259,LUX,2,False,False,2,12,1,14,False,False,c;f2030,,
260,LVA,2,False,False,2,13,0,15,False,False,c;f2030,,
261,MLT,2,False,False,2,12,1,14,False,False,c;f2030,,
262,NOR,2,False,False,2,13,0,15,False,False,c;f2030,,
263,PRT,2,False,False,2,13,0,15,False,False,c;f2030,,
264,SWE,2,False,False,2,13,0,15,False,False,c;f2030,,
